/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 100 -t 10000000 -m 0.1 
Jump 49200000; time 7483410.8;   19 to   20.
Jump 49300000; time 7500525.9;   85 to   84.
Jump 49400000; time 7518555.9;   37 to   38.
Jump 49500000; time 7531223.8;   15 to   16.
Jump 49600000; time 7545415.5;   85 to   86.
Jump 49700000; time 7557528.6;   51 to   52.
Jump 49800000; time 7574981.9;   87 to   88.
Jump 49900000; time 7589245.5;   31 to   32.
Jump 50000000; time 7604652.6;   59 to   60.
Jump 50100000; time 7615160.6;   49 to   50.
Jump 50200000; time 7629814.5;   13 to   12.
Jump 50300000; time 7640221.6;   87 to   88.
Jump 50400000; time 7656098.1;   19 to   20.
Jump 50500000; time 7671529.2;   31 to   32.
Jump 50600000; time 7688017.4;   33 to   32.
Jump 50700000; time 7704771.1;   99 to   98.
Jump 50800000; time 7718630.3;   39 to   38.
Jump 50900000; time 7727437.3;   47 to   48.
Jump 51000000; time 7740891.0;   31 to   30.
Jump 51100000; time 7757299.5;   23 to   22.
Jump 51200000; time 7771395.4;   73 to   74.
Jump 51300000; time 7790155.0;   91 to   92.
Jump 51400000; time 7804540.0;    9 to    8.
Jump 51500000; time 7814658.5;   35 to   36.
Jump 51600000; time 7827415.5;   95 to   94.
Jump 51700000; time 7841483.4;   11 to   10.
Jump 51800000; time 7859218.3;   49 to   50.
Jump 51900000; time 7875162.9;   91 to   90.
Jump 52000000; time 7891566.5;   55 to   54.
Jump 52100000; time 7906598.1;   19 to   18.
Jump 52200000; time 7919362.5;   77 to   78.
Jump 52300000; time 7933908.0;   81 to   82.
Jump 52400000; time 7949235.6;   89 to   88.
Jump 52500000; time 7964008.3;   87 to   86.
Jump 52600000; time 7982311.7;   31 to   32.
Jump 52700000; time 7995825.5;   39 to   40.
Jump 52800000; time 8010535.9;   89 to   88.
Jump 52900000; time 8027322.4;   59 to   58.
Jump 53000000; time 8041244.3;   85 to   86.
Jump 53100000; time 8063921.5;   69 to   68.
Jump 53200000; time 8083667.7;   83 to   84.
Jump 53300000; time 8096972.1;   53 to   54.
Jump 53400000; time 8113504.7;   73 to   74.
Jump 53500000; time 8131487.7;    7 to    6.
Jump 53600000; time 8150780.5;   19 to   18.
Jump 53700000; time 8168559.6;   15 to   16.
Jump 53800000; time 8184372.6;   71 to   70.
Jump 53900000; time 8200386.0;   53 to   54.
Jump 54000000; time 8217481.2;   95 to   94.
Jump 54100000; time 8230583.8;    5 to    4.
Jump 54200000; time 8245383.9;   63 to   64.
Jump 54300000; time 8257801.1;   97 to   96.
Jump 54400000; time 8272137.1;   63 to   64.
Jump 54500000; time 8289195.3;   75 to   76.
Jump 54600000; time 8304542.4;   91 to   90.
Jump 54700000; time 8323782.7;    5 to    4.
Jump 54800000; time 8336168.8;   93 to   94.
Jump 54900000; time 8349497.5;   19 to   18.
Jump 55000000; time 8367574.6;   53 to   52.
Jump 55100000; time 8388273.4;   69 to   70.
Jump 55200000; time 8401668.6;   25 to   24.
Jump 55300000; time 8420554.4;   47 to   46.
Jump 55400000; time 8434220.8;   47 to   46.
Jump 55500000; time 8447582.5;   77 to   78.
Jump 55600000; time 8461603.9;   37 to   36.
Jump 55700000; time 8477058.6;   27 to   28.
Jump 55800000; time 8492332.1;   93 to   94.
Jump 55900000; time 8507427.9;   61 to   62.
Jump 56000000; time 8526046.9;   85 to   86.
Jump 56100000; time 8537967.1;   81 to   80.
Jump 56200000; time 8555839.9;   13 to   14.
Jump 56300000; time 8574461.4;   37 to   38.
Jump 56400000; time 8590148.8;   63 to   62.
Jump 56500000; time 8606532.8;   95 to   96.
Jump 56600000; time 8622032.3;   75 to   76.
Jump 56700000; time 8636771.6;   67 to   68.
Jump 56800000; time 8650557.2;    1 to    2.
Jump 56900000; time 8663852.7;   47 to   48.
Jump 57000000; time 8679455.5;   79 to   78.
Jump 57100000; time 8694408.6;    5 to    6.
Jump 57200000; time 8709425.8;   71 to   72.
Jump 57300000; time 8724972.4;   37 to   36.
Jump 57400000; time 8739596.0;   41 to   42.
Jump 57500000; time 8752766.3;   23 to   22.
