/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 1000 -t 7000000 -m 0.1 
Jump 47600000; time 862893.9;  199 to  198.
Jump 47700000; time 864125.1;  177 to  178.
Jump 47800000; time 864531.6;  485 to  486.
Jump 47900000; time 864733.8;  515 to  514.
Jump 48000000; time 864960.1;  409 to  408.
Jump 48100000; time 865178.9;  369 to  368.
Jump 48200000; time 865405.0;  469 to  470.
Jump 48300000; time 865639.8;  219 to  218.
Jump 48400000; time 865888.1;  625 to  626.
Jump 48500000; time 868629.0;  831 to  832.
Jump 48600000; time 870429.1;  331 to  330.
Jump 48700000; time 870635.3;  553 to  552.
Jump 48800000; time 870900.6;  701 to  702.
Jump 48900000; time 874021.2;  963 to  964.
Jump 49000000; time 874306.2;  505 to  506.
Jump 49100000; time 874644.5;  999 to 1000.
Jump 49200000; time 882303.6;  857 to  858.
Jump 49300000; time 882551.3;  665 to  664.
Jump 49400000; time 885218.9;  937 to  938.
Jump 49500000; time 885552.0;  519 to  520.
Jump 49600000; time 885858.6;  863 to  864.
Jump 49700000; time 887471.0;  919 to  920.
Jump 49800000; time 890908.8;  939 to  940.
Jump 49900000; time 898426.3;  885 to  886.
Jump 50000000; time 898848.0;  777 to  778.
Jump 50100000; time 900222.4;  895 to  896.
Jump 50200000; time 903400.4;  901 to  900.
Jump 50300000; time 905088.2;  717 to  718.
Jump 50400000; time 905654.4;  479 to  480.
Jump 50500000; time 905918.1;  687 to  688.
Jump 50600000; time 906986.3;  365 to  364.
Jump 50700000; time 909218.7;  301 to  300.
Jump 50800000; time 909456.0;  653 to  652.
Jump 50900000; time 909669.2;  425 to  426.
Jump 51000000; time 909883.5;  221 to  220.
Jump 51100000; time 913672.2;  161 to  160.
Jump 51200000; time 917117.0;   81 to   82.
Jump 51300000; time 922800.9;  231 to  232.
Jump 51400000; time 923028.3;  319 to  318.
Jump 51500000; time 923241.5;  283 to  284.
Jump 51600000; time 923459.8;  537 to  536.
Jump 51700000; time 923705.3;  707 to  706.
Jump 51800000; time 923924.0;  315 to  316.
Jump 51900000; time 927621.6;  425 to  424.
Jump 52000000; time 927908.1;  849 to  848.
Jump 52100000; time 931989.2;  601 to  600.
Jump 52200000; time 932194.2;  529 to  530.
Jump 52300000; time 932401.9;  485 to  486.
Jump 52400000; time 932614.1;  765 to  764.
Jump 52500000; time 936652.6;  979 to  978.
Jump 52600000; time 946606.5;  871 to  872.
Jump 52700000; time 947420.6;  727 to  728.
Jump 52800000; time 947669.6;  733 to  732.
Jump 52900000; time 947953.2;  141 to  140.
Jump 53000000; time 948167.0;  639 to  640.
Jump 53100000; time 957845.6;  969 to  968.
Jump 53200000; time 961830.6;  983 to  984.
Jump 53300000; time 965985.7;  703 to  704.
Jump 53400000; time 970393.6;  939 to  940.
Jump 53500000; time 971346.1;  441 to  440.
Jump 53600000; time 971552.7;  443 to  442.
Jump 53700000; time 971769.4;  445 to  446.
Jump 53800000; time 971987.4;  565 to  564.
Jump 53900000; time 972193.3;  527 to  528.
Jump 54000000; time 972408.1;  809 to  808.
Jump 54100000; time 976666.9;  817 to  816.
Jump 54200000; time 976916.9;  717 to  718.
Jump 54300000; time 977145.1;  611 to  610.
Jump 54400000; time 977350.3;  481 to  482.
Jump 54500000; time 979708.0;  975 to  976.
Jump 54600000; time 982759.8;  889 to  888.
Jump 54700000; time 985420.7;  779 to  778.
Jump 54800000; time 987103.8;  975 to  976.
Jump 54900000; time 992654.9;  885 to  884.
Jump 55000000; time 995723.3;  953 to  952.
Jump 55100000; time 997674.9;  757 to  758.
Jump 55200000; time 999471.3;  675 to  674.
Jump 55300000; time 999698.6;  463 to  462.
Jump 55400000; time 999903.0;  529 to  528.
Jump 55500000; time 1000116.5;  417 to  418.
Jump 55600000; time 1001818.4;  843 to  842.
Jump 55700000; time 1002045.1;  345 to  346.
Jump 55800000; time 1002477.6;  297 to  298.
Jump 55900000; time 1002701.7;  465 to  466.
Jump 56000000; time 1006549.8;  985 to  986.
Jump 56100000; time 1011444.3;  981 to  980.
Jump 56200000; time 1012894.6;  335 to  336.
Jump 56300000; time 1013121.3;  215 to  216.
Jump 56400000; time 1013579.1;   93 to   92.
Jump 56500000; time 1018043.6;  375 to  376.
Jump 56600000; time 1018341.3;  883 to  884.
Jump 56700000; time 1022378.2;  891 to  892.
Jump 56800000; time 1025757.1;  651 to  652.
Jump 56900000; time 1026031.4;  747 to  748.
Jump 57000000; time 1026247.9;  293 to  292.
Jump 57100000; time 1028217.1;  149 to  150.
Jump 57200000; time 1028610.7;  363 to  364.
Jump 57300000; time 1028829.4;  363 to  362.
Jump 57400000; time 1031663.8;   61 to   62.
